original	bermuda
sample1	0
sample10	1
sample11	2
sample12	3
sample13	4
sample14	5
sample15	6
sample16	7
sample17	8
sample18	9
sample19	10
sample2	11
sample20	12
sample21	13
sample22	14
sample23	15
sample24	16
sample25	17
sample26	18
sample27	19
sample28	20
sample29	21
sample3	22
sample30	23
sample31	24
sample32	25
sample33	26
sample34	27
sample35	28
sample36	29
sample37	30
sample38	31
sample39	32
sample4	33
sample40	34
sample41	35
sample42	36
sample43	37
sample44	38
sample45	39
sample46	40
sample47	41
sample48	42
sample49	43
sample5	44
sample50	45
sample51	46
sample52	47
sample53	48
sample54	49
sample55	50
sample56	51
sample57	52
sample58	53
sample59	54
sample6	55
sample60	56
sample61	57
sample62	58
sample63	59
sample64	60
sample65	61
sample66	62
sample67	63
sample68	64
sample69	65
sample7	66
sample70	67
sample71	68
sample72	69
sample73	70
sample74	71
sample75	72
sample76	73
sample8	74
sample9	75
